<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>, <AvgExp>, <AvgExp>, <vwap_reset>, <MACD>, <MACDAvg>, <MACDDiff>, <ZeroLine>
30.01.2019,14:15:00,163.030,164.930,162.990,164.879,3586791,161.091,163.081,163.957,1.63,1.60,0.03,0.00
30.01.2019,14:30:00,164.840,165.010,164.400,164.870,1965931,161.371,163.439,164.249,1.68,1.61,0.07,0.00
30.01.2019,14:45:00,164.860,164.960,164.460,164.725,1355954,161.620,163.696,164.347,1.69,1.63,0.06,0.00
30.01.2019,15:00:00,164.720,166.150,164.610,166.050,2473227,161.948,164.167,164.620,1.78,1.66,0.12,0.00
30.01.2019,15:15:00,166.080,166.090,165.110,165.410,1603613,162.204,164.415,164.774,1.78,1.68,0.10,0.00
30.01.2019,15:30:00,165.430,165.870,165.060,165.580,1682329,162.454,164.648,164.868,1.78,1.70,0.08,0.00
30.01.2019,15:45:00,165.582,165.600,164.830,164.995,2055641,162.642,164.718,164.922,1.71,1.70,0.00,0.00
30.01.2019,16:00:00,165.000,165.500,163.800,165.240,3072039,162.835,164.822,164.915,1.65,1.69,-0.04,0.00
31.01.2019,09:45:00,166.120,166.400,164.560,164.846,2493570,162.984,164.827,165.481,1.56,1.67,-0.11,0.00
31.01.2019,10:00:00,164.860,166.680,164.820,166.540,1754784,163.247,165.170,165.582,1.60,1.65,-0.05,0.00
31.01.2019,10:15:00,166.560,167.280,166.180,167.259,1604998,163.544,165.587,165.921,1.68,1.66,0.02,0.00
31.01.2019,10:30:00,167.240,168.090,167.090,167.995,1982662,163.874,166.069,166.347,1.77,1.68,0.09,0.00
31.01.2019,10:45:00,168.000,168.720,167.920,168.540,2125280,164.220,166.563,166.763,1.87,1.72,0.15,0.00
31.01.2019,11:00:00,168.549,168.606,167.963,168.280,1618682,164.521,166.907,166.985,1.91,1.76,0.15,0.00
31.01.2019,11:15:00,168.280,168.650,168.000,168.070,1045415,164.783,167.139,167.089,1.90,1.79,0.11,0.00
31.01.2019,11:30:00,168.090,168.280,167.710,168.000,1019732,165.022,167.311,167.159,1.86,1.80,0.06,0.00
31.01.2019,11:45:00,168.000,168.660,167.960,168.550,1034841,165.283,167.559,167.239,1.86,1.81,0.05,0.00
31.01.2019,12:00:00,168.541,169.000,168.380,168.884,1010634,165.550,167.824,167.333,1.86,1.82,0.04,0.00
31.01.2019,12:15:00,168.880,168.910,167.980,168.340,1092296,165.756,167.927,167.411,1.80,1.82,-0.02,0.00
31.01.2019,12:30:00,168.340,168.360,167.870,168.198,639116,165.937,167.981,167.439,1.71,1.80,-0.08,0.00
31.01.2019,12:45:00,168.200,168.253,167.520,167.560,691613,166.058,167.897,167.456,1.58,1.75,-0.17,0.00
31.01.2019,13:00:00,167.552,168.030,167.520,167.774,692397,166.185,167.873,167.466,1.47,1.70,-0.22,0.00
31.01.2019,13:15:00,167.763,167.770,167.340,167.530,641028,166.284,167.804,167.601,1.35,1.63,-0.27,0.00
31.01.2019,13:30:00,167.540,167.620,167.020,167.100,644922,166.345,167.663,167.460,1.21,1.54,-0.33,0.00
31.01.2019,13:45:00,167.092,167.130,166.800,167.020,717272,166.395,167.535,167.299,1.08,1.45,-0.37,0.00
31.01.2019,14:00:00,167.010,167.460,166.890,167.436,794480,166.472,167.515,167.271,1.00,1.36,-0.36,0.00
31.01.2019,14:15:00,167.430,167.520,167.280,167.410,700274,166.541,167.494,167.410,0.92,1.27,-0.35,0.00
31.01.2019,14:30:00,167.410,167.540,166.880,167.020,666856,166.577,167.399,167.314,0.81,1.18,-0.37,0.00
31.01.2019,14:45:00,167.010,167.060,166.690,166.760,617056,166.590,167.271,167.179,0.70,1.08,-0.38,0.00
31.01.2019,15:00:00,166.755,166.880,166.558,166.720,567236,166.600,167.161,167.079,0.61,0.99,-0.38,0.00
31.01.2019,15:15:00,166.740,166.740,166.240,166.420,769838,166.587,167.013,166.953,0.50,0.89,-0.39,0.00
31.01.2019,15:30:00,166.425,166.980,166.324,166.869,759700,166.608,166.984,166.896,0.44,0.80,-0.36,0.00
31.01.2019,15:45:00,166.870,166.930,166.300,166.359,968107,166.589,166.859,166.842,0.36,0.71,-0.36,0.00
31.01.2019,16:00:00,166.350,166.790,166.180,166.270,1965293,166.566,166.741,166.718,0.28,0.63,-0.35,0.00
01.02.2019,09:45:00,166.930,167.990,166.690,167.860,2205172,166.661,166.965,167.368,0.34,0.57,-0.23,0.00
01.02.2019,10:00:00,167.850,168.140,166.890,167.110,1572850,166.695,166.994,167.422,0.32,0.52,-0.20,0.00
01.02.2019,10:15:00,167.100,168.650,166.990,168.416,1771765,166.822,167.278,167.539,0.41,0.50,-0.09,0.00
01.02.2019,10:30:00,168.390,168.980,168.340,168.570,1138311,166.952,167.537,167.714,0.49,0.49,-0.01,0.00
01.02.2019,10:45:00,168.590,168.900,168.300,168.610,1389480,167.074,167.751,167.867,0.54,0.50,0.04,0.00
01.02.2019,11:00:00,168.592,168.680,168.000,168.040,869402,167.146,167.809,167.912,0.54,0.51,0.03,0.00
01.02.2019,11:15:00,168.030,168.330,167.812,168.045,817666,167.213,167.856,167.924,0.53,0.51,0.01,0.00
01.02.2019,11:30:00,168.030,168.146,167.550,167.640,834006,167.244,167.813,167.917,0.48,0.51,-0.03,0.00
01.02.2019,11:45:00,167.640,168.000,167.530,167.990,575926,167.299,167.848,167.911,0.46,0.50,-0.03,0.00
01.02.2019,12:00:00,167.995,168.120,167.720,167.890,567466,167.343,167.857,167.912,0.44,0.49,-0.05,0.00
01.02.2019,12:15:00,167.886,167.910,167.350,167.410,609125,167.348,167.767,167.898,0.38,0.46,-0.09,0.00
01.02.2019,12:30:00,167.430,167.480,167.000,167.192,749096,167.337,167.652,167.862,0.31,0.43,-0.13,0.00
01.02.2019,12:45:00,167.170,167.430,167.040,167.131,663310,167.321,167.548,167.830,0.24,0.40,-0.15,0.00
01.02.2019,13:00:00,167.130,167.300,167.090,167.180,401929,167.311,167.474,167.812,0.19,0.36,-0.16,0.00
01.02.2019,13:15:00,167.190,167.300,167.020,167.058,425662,167.292,167.391,167.142,0.14,0.31,-0.17,0.00
01.02.2019,13:30:00,167.050,167.141,166.380,166.719,871122,167.250,167.257,166.927,0.08,0.27,-0.19,0.00
01.02.2019,13:45:00,166.710,166.950,166.637,166.770,584410,167.214,167.159,166.877,0.03,0.22,-0.19,0.00
01.02.2019,14:00:00,166.781,167.080,166.550,167.030,543296,167.201,167.134,166.874,0.01,0.18,-0.17,0.00
01.02.2019,14:15:00,167.029,167.055,166.310,166.460,722687,167.146,166.999,166.714,-0.05,0.13,-0.18,0.00
01.02.2019,14:30:00,166.460,166.570,165.990,166.150,837877,167.072,166.829,166.487,-0.12,0.08,-0.20,0.00
01.02.2019,14:45:00,166.150,166.320,166.000,166.170,623491,167.005,166.697,166.394,-0.18,0.03,-0.20,0.00
01.02.2019,15:00:00,166.175,166.260,165.930,166.150,589982,166.942,166.588,166.338,-0.22,-0.02,-0.20,0.00
01.02.2019,15:15:00,166.140,166.260,165.960,166.200,563369,166.887,166.510,166.304,-0.24,-0.07,-0.18,0.00
01.02.2019,15:30:00,166.210,166.400,166.170,166.394,657761,166.850,166.487,166.302,-0.25,-0.10,-0.14,0.00
01.02.2019,15:45:00,166.395,166.666,166.280,166.620,934060,166.833,166.514,166.338,-0.23,-0.13,-0.10,0.00
01.02.2019,16:00:00,166.630,166.760,166.240,166.530,1862888,166.811,166.517,166.393,-0.22,-0.14,-0.07,0.00
04.02.2019,09:45:00,167.480,168.640,167.280,168.150,2288033,166.910,166.843,167.887,-0.08,-0.13,0.05,0.00
04.02.2019,10:00:00,168.160,169.820,168.152,169.770,2147058,167.122,167.429,168.414,0.16,-0.07,0.24,0.00
