<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>, <AvgExp>, <AvgExp>, <vwap_reset>, <MACD>, <MACDAvg>, <MACDDiff>, <ZeroLine>
13.02.2018,14:15:00,233.464,234.410,233.160,234.280,391026,231.626,233.033,233.828,1.14,1.10,0.04,0.00
13.02.2018,14:30:00,234.330,234.500,233.680,233.824,355727,231.789,233.191,233.950,1.14,1.11,0.03,0.00
13.02.2018,14:45:00,233.830,233.986,232.590,232.860,371967,231.869,233.125,233.739,1.05,1.10,-0.05,0.00
13.02.2018,15:00:00,232.933,233.940,232.850,233.685,318715,232.003,233.237,233.653,1.04,1.09,-0.05,0.00
13.02.2018,15:15:00,233.660,233.857,233.010,233.610,256281,232.122,233.311,233.635,1.00,1.07,-0.07,0.00
13.02.2018,15:30:00,233.710,233.940,233.430,233.460,218353,232.221,233.341,233.635,0.96,1.05,-0.09,0.00
13.02.2018,15:45:00,233.501,233.501,232.570,232.650,408056,232.253,233.203,233.533,0.84,1.01,-0.16,0.00
13.02.2018,16:00:00,232.650,232.990,232.320,232.690,660412,232.285,233.100,233.340,0.75,0.95,-0.21,0.00
14.02.2018,09:45:00,231.000,235.170,230.550,234.730,1394200,232.466,233.426,232.863,0.83,0.93,-0.10,0.00
14.02.2018,10:00:00,234.710,236.500,234.250,235.080,1234618,232.660,233.757,233.930,0.91,0.93,-0.02,0.00
14.02.2018,10:15:00,235.030,237.810,235.010,237.560,1001647,233.023,234.518,234.598,1.16,0.97,0.19,0.00
14.02.2018,10:30:00,237.670,238.340,237.270,237.760,869015,233.374,235.166,235.209,1.36,1.05,0.31,0.00
14.02.2018,10:45:00,237.820,238.150,236.900,237.492,764670,233.679,235.631,235.555,1.48,1.14,0.34,0.00
14.02.2018,11:00:00,237.468,238.000,236.700,237.515,480302,233.963,236.008,235.711,1.56,1.22,0.34,0.00
14.02.2018,11:15:00,237.640,238.070,236.620,238.000,556498,234.262,236.406,235.876,1.64,1.30,0.34,0.00
14.02.2018,11:30:00,237.983,238.360,237.370,237.920,402344,234.533,236.709,235.998,1.68,1.38,0.30,0.00
14.02.2018,11:45:00,237.888,238.650,237.640,238.390,452776,234.819,237.045,236.134,1.73,1.45,0.28,0.00
14.02.2018,12:00:00,238.390,238.666,237.610,238.225,371346,235.071,237.281,236.237,1.73,1.51,0.23,0.00
14.02.2018,12:15:00,238.250,239.720,238.240,239.600,513415,235.407,237.745,236.410,1.83,1.57,0.26,0.00
14.02.2018,12:30:00,239.612,239.900,238.870,239.660,579063,235.722,238.128,236.618,1.89,1.63,0.25,0.00
14.02.2018,12:45:00,239.640,240.290,239.420,239.900,537401,236.031,238.482,236.806,1.93,1.69,0.24,0.00
14.02.2018,13:00:00,239.850,240.600,239.670,240.519,472022,236.364,238.890,236.970,1.99,1.75,0.24,0.00
14.02.2018,13:15:00,240.610,241.990,240.380,241.990,584349,236.780,239.510,241.242,2.13,1.83,0.30,0.00
14.02.2018,13:30:00,241.965,242.040,240.750,240.945,589037,237.089,239.797,241.334,2.14,1.89,0.25,0.00
14.02.2018,13:45:00,240.930,241.890,240.907,241.810,322476,237.439,240.199,241.345,2.19,1.95,0.24,0.00
14.02.2018,14:00:00,241.900,242.000,240.990,241.150,282370,237.713,240.390,241.371,2.15,1.99,0.16,0.00
14.02.2018,14:15:00,241.170,242.593,241.130,242.420,479219,238.062,240.796,241.828,2.19,2.03,0.16,0.00
14.02.2018,14:30:00,242.421,242.421,241.180,241.345,374493,238.305,240.906,241.834,2.12,2.05,0.07,0.00
14.02.2018,14:45:00,241.290,241.740,241.040,241.650,337617,238.553,241.054,241.720,2.06,2.05,0.01,0.00
14.02.2018,15:00:00,241.640,241.660,240.400,240.520,347931,238.699,240.948,241.569,1.90,2.02,-0.12,0.00
14.02.2018,15:15:00,240.520,241.500,240.520,241.216,339653,238.885,241.001,241.455,1.81,1.98,-0.17,0.00
14.02.2018,15:30:00,241.250,241.670,241.021,241.531,365801,239.081,241.107,241.441,1.74,1.93,-0.19,0.00
14.02.2018,15:45:00,241.540,241.760,240.800,240.860,408962,239.213,241.058,241.410,1.61,1.87,-0.25,0.00
14.02.2018,16:00:00,240.890,242.000,240.850,241.420,714881,239.376,241.130,241.385,1.54,1.80,-0.26,0.00
15.02.2018,09:45:00,244.785,246.380,243.590,245.830,1811656,239.854,242.070,245.146,1.82,1.80,0.01,0.00
15.02.2018,10:00:00,245.860,248.370,245.860,248.170,1230679,240.470,243.290,245.922,2.20,1.88,0.32,0.00
15.02.2018,10:15:00,248.121,248.250,246.200,247.090,1046239,240.961,244.050,246.304,2.39,1.99,0.41,0.00
15.02.2018,10:30:00,247.030,247.550,245.770,247.222,733795,241.425,244.684,246.394,2.52,2.09,0.43,0.00
15.02.2018,10:45:00,247.220,247.450,244.160,244.275,684519,241.636,244.603,246.317,2.36,2.15,0.22,0.00
15.02.2018,11:00:00,244.220,244.960,242.220,242.586,1048827,241.706,244.199,245.866,2.07,2.13,-0.06,0.00
15.02.2018,11:15:00,242.410,245.350,241.520,245.122,917477,241.959,244.384,245.588,2.03,2.11,-0.08,0.00
15.02.2018,11:30:00,245.139,245.675,244.470,244.960,588615,242.181,244.499,245.549,1.96,2.08,-0.12,0.00
15.02.2018,11:45:00,245.006,245.640,244.350,245.451,414317,242.424,244.689,245.528,1.92,2.05,-0.13,0.00
15.02.2018,12:00:00,245.436,246.520,245.000,246.194,401059,242.703,244.990,245.540,1.92,2.02,-0.10,0.00
15.02.2018,12:15:00,246.240,246.920,245.910,246.920,340668,243.015,245.376,245.575,1.96,2.01,-0.05,0.00
15.02.2018,12:30:00,246.910,247.300,246.600,246.890,295756,243.302,245.679,245.617,1.97,2.00,-0.03,0.00
