<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>, <AvgExp>, <AvgExp>, <vwap_reset>, <MACD>, <MACDAvg>, <MACDDiff>, <ZeroLine>
15.04.2020,10:30:00,744.14,746.00,736.60,739.25,623814,718.04,731.05,739.17,11.30,12.87,-1.57,0.00
15.04.2020,10:45:00,738.90,740.36,731.53,735.46,563816,719.33,731.93,738.90,10.95,12.49,-1.54,0.00
15.04.2020,11:00:00,735.33,740.32,735.00,737.91,399788,720.71,733.13,738.77,10.75,12.14,-1.39,0.00
15.04.2020,11:15:00,737.98,739.63,732.22,735.22,375344,721.78,733.55,738.62,10.25,11.76,-1.51,0.00
15.04.2020,11:30:00,735.20,735.78,718.19,726.60,1064545,722.14,732.16,737.19,9.06,11.22,-2.16,0.00
15.04.2020,11:45:00,726.66,728.00,719.38,722.71,406670,722.18,730.27,736.49,7.71,10.52,-2.81,0.00
15.04.2020,12:00:00,722.58,723.47,710.00,719.20,657997,721.96,728.05,735.08,6.29,9.68,-3.39,0.00
15.04.2020,12:15:00,718.76,726.04,718.01,724.90,473994,722.18,727.42,734.37,5.56,8.85,-3.30,0.00
15.04.2020,12:30:00,724.47,730.24,722.41,725.17,405966,722.40,726.97,733.98,4.94,8.07,-3.13,0.00
15.04.2020,12:45:00,725.01,725.84,718.20,723.66,352068,722.49,726.31,733.57,4.28,7.31,-3.03,0.00
15.04.2020,13:00:00,723.66,726.40,720.11,724.98,302904,722.68,726.04,733.27,3.82,6.61,-2.79,0.00
15.04.2020,13:15:00,724.85,734.36,722.88,733.73,491782,723.50,727.58,728.96,4.11,6.11,-2.00,0.00
15.04.2020,13:30:00,733.72,736.99,728.01,729.86,464063,723.97,728.04,730.50,3.99,5.69,-1.70,0.00
15.04.2020,13:45:00,730.11,731.00,725.24,727.16,296015,724.20,727.86,730.00,3.63,5.28,-1.65,0.00
15.04.2020,14:00:00,727.24,730.00,726.41,727.72,256342,724.46,727.83,729.63,3.35,4.89,-1.54,0.00
15.04.2020,14:15:00,727.94,733.90,727.80,731.60,340490,724.99,728.59,730.31,3.41,4.59,-1.19,0.00
15.04.2020,14:30:00,731.37,731.59,726.70,729.77,242647,725.35,728.82,730.12,3.26,4.33,-1.07,0.00
15.04.2020,14:45:00,729.86,736.25,728.89,734.84,413019,726.05,730.03,731.09,3.52,4.17,-0.65,0.00
15.04.2020,15:00:00,735.00,736.00,730.99,732.39,348508,726.52,730.50,731.74,3.48,4.03,-0.55,0.00
15.04.2020,15:15:00,732.33,733.46,724.39,726.70,395684,726.53,729.74,731.17,2.96,3.82,-0.85,0.00
15.04.2020,15:30:00,726.89,730.70,722.23,724.37,362468,726.37,728.67,730.28,2.33,3.52,-1.19,0.00
15.04.2020,15:45:00,724.33,727.86,721.00,727.34,413368,726.44,728.40,729.44,2.05,3.23,-1.17,0.00
15.04.2020,16:00:00,727.33,730.34,725.62,729.53,634701,726.67,728.63,729.19,1.98,2.98,-1.00,0.00
16.04.2020,09:45:00,716.94,723.69,706.72,720.47,1147841,726.21,727.00,716.96,1.18,2.62,-1.44,0.00
16.04.2020,10:00:00,720.20,725.10,712.52,717.00,753154,725.53,725.00,717.65,0.27,2.15,-1.88,0.00
16.04.2020,10:15:00,716.99,721.58,714.12,715.75,479280,724.81,723.15,717.54,-0.56,1.61,-2.16,0.00
16.04.2020,10:30:00,716.25,727.72,715.03,726.67,571770,724.94,723.85,718.29,-0.32,1.22,-1.54,0.00
16.04.2020,10:45:00,727.00,735.89,722.84,735.77,666900,725.75,726.24,720.52,0.59,1.10,-0.50,0.00
16.04.2020,11:00:00,735.50,740.00,731.48,735.23,759761,726.45,728.03,723.13,1.26,1.13,0.13,0.00
16.04.2020,11:15:00,734.93,746.30,734.61,742.40,810051,727.63,730.91,725.69,2.34,1.37,0.97,0.00
